구,구_동,세대수,인구_합계,인구_내국인_인구수_계,인구_내국인_인구수_남,인구_내국인_인구수_여,인구_내국인_전월말인구수,인구_내국인_인구증감전월대비,외국인_계,외국인_남,외국인_여,데이터기준일자
장안구,파장동,10686,23833,23486,11835,11651,23801,32,347,160,187,2021-05-31
장안구,율천동,20351,45076,43156,22900,20256,45165,-89,1920,1161,759,2021-05-31
장안구,정자1동,11014,29569,29388,14499,14889,29618,-49,181,80,101,2021-05-31
장안구,정자2동,12553,30030,29608,14502,15106,30095,-65,422,201,221,2021-05-31
장안구,정자3동,14333,42383,42203,21085,21118,42461,-78,180,88,92,2021-05-31
장안구,영화동,10629,21752,20014,10240,9774,21761,-9,1738,914,824,2021-05-31
장안구,송죽동,8880,19855,19609,9737,9872,19860,-5,246,117,129,2021-05-31
장안구,조원1동,12767,28674,28353,14308,14045,28728,-54,321,129,192,2021-05-31
장안구,조원2동,6577,18937,18904,9107,9797,18959,-22,33,9,24,2021-05-31
장안구,연무동,8491,17097,16086,8285,7801,17096,1,1011,418,593,2021-05-31
권선구,세류1동,4445,11482,10272,5147,5125,11458,24,1210,606,604,2021-05-31
권선구,세류2동,12243,25749,23525,12142,11383,25801,-52,2224,1189,1035,2021-05-31
권선구,세류3동,9157,20235,19009,9581,9428,20331,-96,1226,627,599,2021-05-31
권선구,평동,16535,41380,40552,20531,20021,41459,-79,828,440,388,2021-05-31
권선구,서둔동,16777,38662,37756,19240,18516,38643,19,906,433,473,2021-05-31
권선구,구운동,10675,25035,24518,12377,12141,25046,-11,517,239,278,2021-05-31
권선구,금 곡 동,17285,45877,45604,22545,23059,45896,-19,273,115,158,2021-05-31
권선구,호매실동,17169,46673,46435,23114,23321,46667,6,238,85,153,2021-05-31
권선구,권선1동,13007,25325,24780,12657,12123,25378,-53,545,258,287,2021-05-31
권선구,권선2동,17294,49131,48878,24022,24856,49233,-102,253,108,145,2021-05-31
권선구,곡선동,14449,27805,27317,14726,12591,27865,-60,488,221,267,2021-05-31
권선구,입북동,6184,16841,16738,8484,8254,16836,5,103,42,61,2021-05-31
팔달구,행궁동,6654,11541,10682,5704,4978,11527,14,859,484,375,2021-05-31
팔달구,매교동,3308,6715,5928,3127,2801,6724,-9,787,403,384,2021-05-31
팔달구,매산동,6100,12675,10464,5594,4870,12709,-34,2211,1223,988,2021-05-31
팔달구,고등동,8991,21931,19082,9630,9452,21445,486,2849,1562,1287,2021-05-31
팔달구,화서1동,9904,24227,22575,10996,11579,24237,-10,1652,885,767,2021-05-31
팔달구,화서2동,9683,26556,26384,12982,13402,26588,-32,172,71,101,2021-05-31
팔달구,지동,5766,12179,11013,5613,5400,12249,-70,1166,620,546,2021-05-31
팔달구,우만1동,10794,20842,20248,10105,10143,20921,-79,594,299,295,2021-05-31
팔달구,우만2동,7602,17372,17070,8570,8500,17385,-13,302,164,138,2021-05-31
팔달구,인계동,21528,40581,39398,19907,19491,40380,201,1183,588,595,2021-05-31
영통구,매탄1동,7722,19205,17948,9021,8927,19253,-48,1257,574,683,2021-05-31
영통구,매탄2동,6529,15382,14934,7407,7527,15387,-5,448,231,217,2021-05-31
영통구,매탄3동,15684,36773,36180,18723,17457,36764,9,593,324,269,2021-05-31
영통구,매탄4동,9475,22113,21820,10668,11152,22180,-67,293,137,156,2021-05-31
영통구,원천동,18037,39858,38885,19688,19197,39855,3,973,504,469,2021-05-31
영통구,영통1동,12648,35846,35352,17374,17978,35926,-80,494,247,247,2021-05-31
영통구,영통2동,13103,26778,26345,13967,12378,26843,-65,433,225,208,2021-05-31
영통구,영통3동,13384,34313,32814,16745,16069,34423,-110,1499,768,731,2021-05-31
영통구,망포1동,10908,31446,31270,15762,15508,31431,15,176,79,97,2021-05-31
영통구,망포2동,9481,28150,27995,13976,14019,28177,-27,155,69,86,2021-05-31
영통구,광교1동,21872,53404,52990,25965,27025,53420,-16,414,174,240,2021-05-31
영통구,광교2동,11598,29533,29354,14171,15183,29485,48,179,86,93,2021-05-31
